Sprichwörter 1,7|Die Furcht des HERRN ist der Anfang der Erkenntnis. Weisheit und Zucht verachten nur die Narren.
Sprichwörter 18,10|Ein fester Turm ist der Name des HERRN; zu ihm läuft der Gerechte und ist in Sicherheit.
Sprichwörter 18,11|Das Vermögen des Reichen ist seine feste Stadt und wie eine hochragende Mauer – in seiner Einbildung.
Sprichwörter 18,17|Im Recht scheint, wer in seiner Streitsache als Erster auftritt, bis sein Nächster kommt und ihn ausforscht.
Sprichwörter 18,22|Wer eine Frau gefunden, hat Gutes gefunden und hat Wohlgefallen erlangt von dem HERRN.
Sprichwörter 3,12|Denn wen der HERR liebt, den züchtigt er wie ein Vater den Sohn, den er gern hat.
Sprichwörter 4,18–19|18 Aber der Pfad der Gerechten ist wie das glänzende Morgenlicht, heller und heller erstrahlt es bis zur Tageshöhe. 19 Der Weg der Gottlosen ist wie das Dunkel; sie erkennen nicht, worüber sie stürzen.
Sprichwörter 4,23|Mehr als alles, was man sonst bewahrt, behüte dein Herz! Denn in ihm entspringt die Quelle des Lebens. –
Sprichwörter 6,23–24|23 Denn eine Leuchte ist das Gebot und die Weisung ein Licht, und ein Weg zum Leben sind Ermahnungen der Zucht, 24 dich zu bewahren vor der Frau des Nächsten, vor der glatten Zunge der Fremden.
Sprichwörter 10,12|Hass erregt Zänkereien, aber Liebe deckt alle Vergehen zu.
Sprichwörter 10,19|Bei vielen Worten bleibt Wortbruch nicht aus, wer aber seine Lippen zügelt, handelt klug.
Sprichwörter 10,22|Der Segen des HERRN, der macht reich, und eigenes Abmühen fügt neben ihm nichts hinzu.
Sprichwörter 11,22|Ein goldener Ring im Rüssel einer Sau, so ist eine Frau, die schön, aber ohne Feingefühl ist.
Sprichwörter 14,23|Bei jeder Mühe ist Gewinn, aber bloßes Gerede führt nur zum Mangel.
Sprichwörter 15,15|Alle Tage des Elenden sind schlecht, aber ein fröhliches Herz hat ein ständiges Festmahl.
Sprichwörter 16,25|Da ist ein Weg, der einem Menschen gerade erscheint, aber zuletzt sind es Wege des Todes.
Sprichwörter 16,32|Besser ein Langmütiger als ein Held, und besser, wer seinen Geist beherrscht, als wer eine Stadt erobert.
Sprichwörter 17,5|Wer den Armen verspottet, verhöhnt den, der ihn gemacht hat; wer sich über Unglück freut, bleibt nicht ungestraft.
Sprichwörter 17,10|Zurechtweisung dringt bei einem Verständigen tiefer ein als hundert Schläge bei einem Toren.
Sprichwörter 18,10|Ein fester Turm ist der Name des HERRN; zu ihm läuft der Gerechte und ist in Sicherheit.
Sprichwörter 20,3|Ehre ist es dem Mann, vom Streit abzulassen, jeder Narr aber fängt Streit an.
Sprichwörter 27,17|Eisen wird durch Eisen geschärft, und ein Mann schärft das Angesicht seines Nächsten.
